,id,total-units,prereqs,semester,hass_attribute,gir_attribute,sections
STS.082,STS.082,12,,['Spring'],HS,,"{'RecitationSession': ['R EVE (7.30 PM) VIRTUAL'], 'LectureSession': ['MW1.30-3 VIRTUAL']}"
STS.095,STS.095,0,Permission of instructor,"['Fall', 'IAP', 'Spring']",,,
STS.096,STS.096,0,,"['Fall', 'IAP', 'Spring']",,,
STS.THT,STS.THT,0,,"['Fall', 'Spring']",,,
STS.THU,STS.THU,0,STS.THT,"['Fall', 'IAP', 'Summer', 'Spring']",,,
STS.UR,STS.UR,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
STS.URG,STS.URG,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
WGS.101,WGS.101,12,,"['Fall', 'Spring']",HH,,{'LectureSession': ['MW3-4.30 VIRTUAL']}
WGS.110,WGS.110,12,,['Spring'],HH,,"{'LectureSession': ['T EVE (7-9 PM) VIRTUAL'], 'RecitationSession': ['*TO BE ARRANGED null']}"
WGS.151,WGS.151,12,,['Spring'],HS,,"{'LectureSession': ['M EVE (8-10 PM) VIRTUAL'], 'RecitationSession': ['*TO BE ARRANGED null']}"
WGS.181,WGS.181,12,,['Spring'],HH,,{'LectureSession': ['T EVE (7-10 PM) VIRTUAL']}
WGS.190,WGS.190,12,,['Spring'],"HA,HH",,{'LectureSession': ['T2-5 VIRTUAL']}
WGS.220,WGS.220,12,,['Spring'],HH,,"{'LectureSession': ['W2-4 VIRTUAL'], 'RecitationSession': ['*TO BE ARRANGED null']}"
WGS.224,WGS.224,12,,['Spring'],HS,,{'LectureSession': ['W10-1 VIRTUAL']}
WGS.226,WGS.226,12,,['Spring'],HH,,{'LectureSession': ['TR9.30-11 VIRTUAL']}
WGS.229,WGS.229,12,,['Spring'],HS,,{'LectureSession': ['R EVE (7-10 PM) VIRTUAL']}
WGS.245,WGS.245,12,,['Spring'],HH,,{'LectureSession': ['MW9.30-11 VIRTUAL']}
WGS.275,WGS.275,12,,['Spring'],HS,,{'LectureSession': ['F1-4 VIRTUAL']}
WGS.301,WGS.301,12,,['Spring'],HH,,{'LectureSession': ['TR2-3.30 VIRTUAL']}
WGS.400,WGS.400,0,Permission of instructor,"['Fall', 'Spring']",,,
WGS.S10,WGS.S10,12,,"['Fall', 'Spring']",,,{'LectureSession': ['TR2-3.30 VIRTUAL']}
WGS.UR,WGS.UR,0,Permission of instructor,"['Fall', 'IAP', 'Summer', 'Spring']",,,
WGS.URG,WGS.URG,0,Permission of instructor,"['Fall', 'IAP', 'Summer', 'Spring']",,,
