,id,total-units,prereqs,semester,hass_attribute,gir_attribute,sections
15.037,15.037,12,14.01 or 15.0111,['Spring'],HS,,"{'RecitationSession': ['F2 VIRTUAL'], 'LectureSession': ['TR1-2.30 VIRTUAL']}"
15.039,15.039,12,14.01,['Spring'],HS,,"{'LectureSession': ['TR10.30-12 VIRTUAL'], 'RecitationSession': ['F11 VIRTUAL']}"
15.053,15.053,12,"1.00, 1.000, 6.0001, or permission of instructor",['Spring'],,REST,"{'LectureSession': ['TR2.30-4 VIRTUAL'], 'RecitationSession': ['F1 VIRTUAL']}"
15.0711,15.0711,12,15.053 and 15.0791,['Spring'],,,"{'LectureSession': ['MW9.30-11 VIRTUAL'], 'RecitationSession': ['F9.30 VIRTUAL']}"
15.075,15.075,12,6.041B or 15.0791,['Spring'],,LAB,"{'LectureSession': ['MW9.30-11 VIRTUAL'], 'LabSession': ['F2 VIRTUAL']}"
15.076,15.076,12,GIR:CAL1,['Spring'],,,{'LectureSession': ['MW12.30-2 VIRTUAL']}
15.2391,15.2391,6,,['Spring'],,,{'LectureSession': ['TR2.30-4 VIRTUAL']}
15.276,15.276,12,,"['Fall', 'Spring']",,,{'LectureSession': ['MW2-3.30 VIRTUAL']}
15.279,15.279,12,,"['Fall', 'Spring']",,,{'LectureSession': ['TR2.30-4 VIRTUAL']}
15.305,15.305,9,Permission of instructor,"['Fall', 'Spring']",,,{'LectureSession': ['W2-5 VIRTUAL']}
15.373,15.373,12,,['Spring'],,,{'LectureSession': ['MW8-9.30 VIRTUAL']}
15.3781,15.3781,12,15.3901 or permission of instructor,['Spring'],,,{'LectureSession': ['T8-11 VIRTUAL']}
15.3901,15.3901,12,,"['Fall', 'Spring']",,,{'LectureSession': ['MW2.30-4 VIRTUAL']}
15.3941,15.3941,9,,['Spring'],,,{'LectureSession': ['TR11-12.30 VIRTUAL']}
15.3991,15.3991,12,,"['Fall', 'Spring']",,,{'LectureSession': ['T8-11 E51-149']}
15.417,15.417,15,,['Spring'],,LAB,"{'RecitationSession': ['F10 VIRTUAL'], 'LectureSession': ['TR2.30-4 VIRTUAL'], 'LabSession': ['F1-3 VIRTUAL']}"
15.4371,15.4371,9,15.417,['Spring'],,,{'LectureSession': ['TR11-12.30 E62-262']}
15.4451,15.4451,9,15.501; [15.418],['Spring'],,,{'LectureSession': ['TR9.30-11 E51-315']}
15.501,15.501,12,,"['Fall', 'Spring']",,,{'LectureSession': ['MW2.30-4 VIRTUAL']}
15.5181,15.5181,9,15.501,['Spring'],,,{'LectureSession': ['TR9.30-11 VIRTUAL']}
15.6181,15.6181,6,,"['Fall', 'Spring']",,,{'LectureSession': ['R EVE (7-8.30 PM) VIRTUAL']}
15.6221,15.6221,6,,['Spring'],,,{'LectureSession': ['T EVE (7-8.30 PM) VIRTUAL']}
15.7611,15.7611,9,"6.041B, 15.0791, or permission of instructor",['Spring'],,,"{'LectureSession': ['MW11-12.30 VIRTUAL'], 'RecitationSession': ['R4-5.30 VIRTUAL']}"
15.772,15.772,12,,['Spring'],,,{'LectureSession': ['MW9.30-11 VIRTUAL']}
15.8141,15.8141,9,,['Spring'],,,{'LectureSession': ['MW11-12.30 VIRTUAL']}
15.8471,15.8471,9,,['Spring'],,,{'LectureSession': ['TR2.30-4 VIRTUAL']}
15.8731,15.8731,9,,"['Fall', 'Spring']",,,"{'RecitationSession': ['F1-2.30 VIRTUAL'], 'LectureSession': ['MW11-12.30 VIRTUAL']}"
15.9001,15.9001,9,,['Spring'],,,{'LectureSession': ['MWF4-5.30 VIRTUAL']}
15.950,15.950,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
15.951,15.951,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
15.952,15.952,1,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
15.EPE,15.EPE,1,2.EPW or permission of instructor,"['Fall', 'Spring']",,,
15.UR,15.UR,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
15.URG,15.URG,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
16.003,16.003,12,"GIR:CAL2, GIR:PHY2, and (18.03 or 18.032); [16.004]",['Spring'],,,"{'LabSession': ['MTWRF9-12 33-014'], 'LectureSession': ['M9,T10,F9-11 VIRTUAL']}"
16.004,16.004,12,"GIR:CAL2, GIR:PHY2, and (18.03 or 18.032); [GIR:CHEM and 16.003]",['Spring'],,,"{'LabSession': ['MTWRF EVE (7-10 PM) 33-014'], 'LectureSession': ['MT10,R9-11 VIRTUAL'], 'RecitationSession': ['W10 VIRTUAL']}"
16.06,16.06,12,16.002 and (16.003 or 16.004),['Spring'],,,"{'RecitationSession': ['R3 VIRTUAL'], 'LectureSession': ['MWF11 VIRTUAL']}"
16.09,16.09,12,GIR:CAL2,['Spring'],,,"{'LectureSession': ['MW1-2.30 VIRTUAL'], 'RecitationSession': ['T1 VIRTUAL']}"
16.20,16.20,12,16.001,['Spring'],,,"{'RecitationSession': ['F10 VIRTUAL'], 'LectureSession': ['TR11-12.30 VIRTUAL']}"
16.35,16.35,12,1.00 or 6.0002,['Spring'],,,{'LectureSession': ['TR9.30-11 VIRTUAL']}
16.36,16.36,12,(6.003 or 16.002) and (16.09 or 6.041),['Spring'],,,"{'LabSession': ['MTWRF EVE (7-10 PM) 33-017'], 'LectureSession': ['TR11-12.30 VIRTUAL']}"
16.405,16.405,12,"((1.00 or 6.0001) and (2.003, 6.006, 6.009, or 16.06)) or permission of instructor",['Spring'],,LAB,"{'LectureSession': ['MWF1 VIRTUAL'], 'LabSession': ['MW8-11 (MEETS 3/9 TO 5/14) W34-TRACK'], 'RecitationSession': ['MW3-5 VIRTUAL']}"
16.50,16.50,12,16.003 and (2.005 or 16.004),['Spring'],,,{'LectureSession': ['MW9.30-11 VIRTUAL']}
16.64,16.64,6,16.002,['Spring'],,,"{'LabSession': ['*TO BE ARRANGED null'], 'LectureSession': ['W4 VIRTUAL']}"
16.650,16.650,3,[6.912]; or permission of instructor,"['Fall', 'Spring']",,,{'LabSession': ['F1-3 13-1000LA']}
16.651,16.651,3,[6.911]; or permission of instructor,"['Fall', 'Spring']",,,{'LectureSession': ['M1-2.30 VIRTUAL']}
16.662,16.662,6,,"['Fall', 'Spring']",,,{'LectureSession': ['M EVE (9 PM) VIRTUAL']}
16.6621,16.6621,3,,['Spring'],,,{'LectureSession': ['M EVE (7-9 PM) VIRTUAL']}
16.667,16.667,6,"6.902, 6.911, 6.912, or permission of instructor","['Fall', 'Spring']",,,{'LabSession': ['F9-11 13-1000LA']}
16.676,16.676,6,,"['Fall', 'Spring']",,,{'LectureSession': ['W EVE (7-9 PM) VIRTUAL']}
16.691,16.691,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
16.821,16.821,18,Permission of instructor,"['Fall', 'Spring']",,LAB,"{'LectureSession': ['TR2-3 Virtual'], 'LabSession': ['MTWRF2-5 33-014']}"
16.83,16.83,12,Permission of instructor,['Spring'],,,"{'LectureSession': ['TR2 VIRTUAL'], 'LabSession': ['*TO BE ARRANGED null']}"
16.84,16.84,12,6.141 or permission of instructor,['Spring'],,,"{'LectureSession': ['M2 VIRTUAL'], 'RecitationSession': ['*TO BE ARRANGED null']}"
16.90,16.90,12,"16.001, 16.002, 16.003, 16.004, or permission of instructor; [16.09 or 6.041]",['Spring'],,,"{'RecitationSession': ['*TO BE ARRANGED null'], 'LectureSession': ['MW2.30-4 VIRTUAL']}"
16.901,16.901,0,,"['Fall', 'Spring']",,,{'LectureSession': ['MW3-4.30 VIRTUAL']}
16.EPE,16.EPE,1,2.EPW or permission of instructor,"['Fall', 'Spring']",,,
16.S685,16.S685,0,Permission of instructor,"['IAP', 'Spring']",,,{'LectureSession': ['R1-2.30 VIRTUAL']}
16.S686,16.S686,0,Permission of instructor,['Spring'],,,
16.S688,16.S688,0,,['Spring'],,,
16.UR,16.UR,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
17.007,17.007,12,,['Spring'],HH,,{'LectureSession': ['TR2-3.30 VIRTUAL']}
17.04,17.04,12,,['Spring'],HH,,"{'LectureSession': ['R3-5 VIRTUAL'], 'RecitationSession': ['T3-5 16-160']}"
17.181,17.181,12,,['Spring'],HS,,"{'RecitationSession': ['*TO BE ARRANGED null'], 'LectureSession': ['W1-3 VIRTUAL']}"
17.261,17.261,12,17.251 or permission of instructor,['Spring'],HS,,{'LectureSession': ['M3-5 VIRTUAL']}
17.275,17.275,12,,['Spring'],HS,,"{'LectureSession': ['W1-3 VIRTUAL'], 'RecitationSession': ['*TO BE ARRANGED null']}"
17.307,17.307,12,Permission of instructor,"['Fall', 'Spring']",HS,,{'LectureSession': ['*TO BE ARRANGED *TO BE ARRANGED']}
17.309,17.309,12,,['Spring'],HS,,"{'LectureSession': ['MW1.30-3 VIRTUAL'], 'RecitationSession': ['R EVE (7.30 PM) VIRTUAL']}"
17.315,17.315,12,,['Spring'],HS,,"{'LectureSession': ['TR11-12.30 VIRTUAL'], 'RecitationSession': ['*TO BE ARRANGED *TO BE ARRANGED']}"
17.389,17.389,12,,['Spring'],HS,,"{'LectureSession': ['T1-3 VIRTUAL'], 'RecitationSession': ['*TO BE ARRANGED null']}"
17.393,17.393,12,,['Spring'],HS,,{'LectureSession': ['TR3.30-5 VIRTUAL']}
17.445,17.445,12,,['Spring'],HS,,"{'RecitationSession': ['*TO BE ARRANGED null'], 'LectureSession': ['M1-3 VIRTUAL']}"
17.473,17.473,12,,['Spring'],HS,,"{'RecitationSession': ['*TO BE ARRANGED null'], 'LectureSession': ['M1-3 VIRTUAL']}"
17.483,17.483,12,Freshmen need permission of instructor,['Spring'],HS,,"{'RecitationSession': ['W EVE (7 PM) VIRTUAL'], 'LectureSession': ['T1-3 VIRTUAL']}"
17.511,17.511,12,,['Spring'],HS,,{'LectureSession': ['TR9.30-11 VIRTUAL']}
17.55,17.55,12,,['Spring'],HS,,{'LectureSession': ['TR3-4.30 VIRTUAL']}
17.569,17.569,12,,['Spring'],HS,,"{'LectureSession': ['T11-1,R12 VIRTUAL']}"
17.57,17.57,12,,['Spring'],HS,,{'LectureSession': ['MW1-2.30 VIRTUAL']}
17.591,17.591,12,Permission of instructor,['Spring'],HS,,"{'LectureSession': ['M11-1 VIRTUAL'], 'RecitationSession': ['*TO BE ARRANGED null']}"
17.803,17.803,15,17.801 or permission of instructor,['Spring'],,LAB,"{'RecitationSession': ['*TO BE ARRANGED null'], 'LectureSession': ['MW9.30-11 VIRTUAL']}"
17.811,17.811,12,,['Spring'],HS,,"{'RecitationSession': ['*TO BE ARRANGED *TO BE ARRANGED'], 'LectureSession': ['T1-3 VIRTUAL']}"
17.902,17.902,0,,"['Fall', 'Spring']",,,
17.905,17.905,0,,"['Fall', 'Spring']",,,
17.906,17.906,0,,"['Fall', 'Spring']",,,
17.910,17.910,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
17.S917,17.S917,0,,['Spring'],,,"{'RecitationSession': ['*TO BE ARRANGED null'], 'LectureSession': ['W3-5 VIRTUAL']}"
17.S919,17.S919,0,,['Spring'],,,{'LectureSession': ['TR3-4.30 VIRTUAL']}
17.THU,17.THU,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
17.UR,17.UR,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
17.URG,17.URG,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
18.01,18.01,12,,"['Fall', 'Spring']",,CAL1,"{'LectureSession': ['TR11,F2 VIRTUAL'], 'RecitationSession': ['MW2 VIRTUAL']}"
18.02,18.02,12,GIR:CAL1,"['Fall', 'Spring']",,CAL2,"{'LectureSession': ['TR11,F2 VIRTUAL'], 'RecitationSession': ['MW3 VIRTUAL']}"
18.02A,18.02A,12,GIR:CAL1,"['Fall', 'IAP', 'Spring']",,CAL2,"{'LectureSession': ['TR11,F2 (BEGINS APR 5) VIRTUAL'], 'RecitationSession': ['*TO BE ARRANGED null']}"
18.03,18.03,12,[GIR:CAL2],"['Fall', 'Spring']",,REST,"{'RecitationSession': ['TR2 VIRTUAL'], 'LectureSession': ['MW1,F12 VIRTUAL']}"
18.032,18.032,12,[GIR:CAL2],['Spring'],,REST,"{'RecitationSession': ['TR11 VIRTUAL'], 'LectureSession': ['MW1,F12 4-370']}"
18.04,18.04,12,GIR:CAL2 and (18.03 or 18.032),['Spring'],,,"{'LectureSession': ['MWF2 2-190'], 'RecitationSession': ['R2 VIRTUAL']}"
18.05,18.05,12,GIR:CAL2,['Spring'],,REST,"{'LectureSession': ['TR2.30-4,F3 VIRTUAL']}"
18.06,18.06,12,GIR:CAL2,"['Fall', 'Spring']",,REST,"{'RecitationSession': ['T12 VIRTUAL'], 'LectureSession': ['MWF11 VIRTUAL']}"
18.062,18.062,12,GIR:CAL1,"['Fall', 'Spring']",,REST,"{'RecitationSession': ['WF11 VIRTUAL'], 'LectureSession': ['TR2.30-4 VIRTUAL']}"
18.065,18.065,12,18.06,['Spring'],,,{'LectureSession': ['MWF1 2-190']}
18.075,18.075,12,GIR:CAL2 and 18.03,['Spring'],,,{'LectureSession': ['MWF1 VIRTUAL']}
18.085,18.085,12,GIR:CAL2 and (18.03 or 18.032),"['Fall', 'Summer', 'Spring']",,,{'LectureSession': ['TR1-2.30 VIRTUAL']}
18.098,18.098,0,Permission of instructor,"['Fall', 'IAP', 'Summer', 'Spring']",,,
18.099,18.099,0,Permission of instructor,"['Fall', 'IAP', 'Summer', 'Spring']",,,
18.100A,18.100A,12,GIR:CAL2,"['Fall', 'Spring']",,,{'LectureSession': ['MWF1 VIRTUAL']}
18.100B,18.100B,12,GIR:CAL2,"['Fall', 'Spring']",,,{'LectureSession': ['TR9.30-11 VIRTUAL']}
18.100P,18.100P,15,GIR:CAL2,['Spring'],,,"{'RecitationSession': ['F12 VIRTUAL'], 'LectureSession': ['MW11-12.30 (LIMITED 30) VIRTUAL']}"
18.102,18.102,12,"(18.06, 18.700, or 18.701) and (18.100A, 18.100B, 18.100P, or 18.100Q)",['Spring'],,,{'LectureSession': ['TR1-2.30 VIRTUAL']}
18.104,18.104,12,"18.100A, 18.100B, 18.100P, or 18.100Q",['Spring'],,,{'LectureSession': ['MWF2 (LIMITED 15) 2-131']}
18.152,18.152,12,"(18.06, 18.700, or 18.701) and (18.100A, 18.100B, 18.100P, or 18.100Q)",['Spring'],,,{'LectureSession': ['TR1-2.30 VIRTUAL']}
18.200,18.200,15,[18.06],['Spring'],,,"{'LectureSession': ['MWF10 (LIMITED 75) VIRTUAL'], 'RecitationSession': ['R EVE (7 PM) VIRTUAL']}"
18.204,18.204,12,"((6.042 or 18.200) and (18.06, 18.700, or 18.701)) or permission of instructor","['Fall', 'Spring']",,,{'LectureSession': ['MW9.30-11 (LIMITED 15 EACH .. VIRTUAL']}
18.212,18.212,12,18.701 or 18.703,['Spring'],,,{'LectureSession': ['MWF2 VIRTUAL']}
18.300,18.300,12,GIR:CAL2 and (18.03 or 18.032),['Spring'],,,{'LectureSession': ['TR11-12.30 VIRTUAL']}
18.303,18.303,12,18.06 or 18.700,['Spring'],,,{'LectureSession': ['TR9.30-11 VIRTUAL']}
18.330,18.330,12,GIR:CAL2 and (18.03 or 18.032),['Spring'],,,{'LectureSession': ['TR1-2.30 VIRTUAL']}
18.354,18.354,12,GIR:PHY2 and (18.03 or 18.032),['Spring'],,,{'LectureSession': ['MW11-12.30 VIRTUAL']}
18.400,18.400,12,6.042,['Spring'],,,"{'RecitationSession': ['F11 VIRTUAL'], 'LectureSession': ['TR2.30-4 VIRTUAL']}"
18.410,18.410,12,6.006,"['Fall', 'Spring']",,,"{'RecitationSession': ['F3 VIRTUAL'], 'LectureSession': ['TR11-12.30 VIRTUAL']}"
18.424,18.424,12,"(6.041, 18.05, or 18.600) and (18.06, 18.700, or 18.701)",['Spring'],,,{'LectureSession': ['TR2.30-4 VIRTUAL']}
18.453,18.453,12,"18.06, 18.700, or 18.701",['Spring'],,,{'LectureSession': ['TR11-12.30 VIRTUAL']}
18.600,18.600,12,GIR:CAL2,"['Fall', 'Spring']",,REST,"{'RecitationSession': ['R2 VIRTUAL'], 'LectureSession': ['MWF2 VIRTUAL']}"
18.650,18.650,12,6.041 or 18.600,"['Fall', 'Spring']",,,"{'LectureSession': ['MW9.30-11 VIRTUAL'], 'RecitationSession': ['F10 VIRTUAL']}"
18.702,18.702,12,18.701,['Spring'],,,{'LectureSession': ['MWF11 VIRTUAL']}
18.703,18.703,12,GIR:CAL2,['Spring'],,,{'LectureSession': ['TR2.30-4 VIRTUAL']}
18.704,18.704,12,"18.701, (18.06 and 18.703), or (18.700 and 18.703)","['Fall', 'Spring']",,,{'LectureSession': ['TR1-2.30 VIRTUAL']}
18.781,18.781,12,,['Spring'],,,{'LectureSession': ['TR9.30-11 VIRTUAL']}
18.783,18.783,12,"18.702, 18.703, or permission of instructor",['Spring'],,,{'LectureSession': ['MW12.30-2 VIRTUAL']}
18.821,18.821,12,Two mathematics subjects numbered 18.10 or above,"['Fall', 'Spring']",,LAB,"{'LabSession': ['*TO BE ARRANGED null'], 'LectureSession': ['TR11-1 (LIMITED 27) VIRTUAL']}"
18.901,18.901,12,"18.100A, 18.100B, 18.100P, 18.100Q, or permission of instructor","['Fall', 'Spring']",,,{'LectureSession': ['TR2.30-4 VIRTUAL']}
18.904,18.904,12,18.901,['Spring'],,,{'LectureSession': ['MW9.30-11 2-190']}
18.952,18.952,12,18.101 and (18.700 or 18.701),['Spring'],,,{'LectureSession': ['MWF11 VIRTUAL']}
18.S096,18.S096,0,Permission of instructor,"['Fall', 'Spring']",,,{'LectureSession': ['TR1-2.30 VIRTUAL']}
18.S190,18.S190,0,Permission of instructor,"['Fall', 'Spring']",,,{'LectureSession': ['MW3-4.30 VIRTUAL']}
18.S191,18.S191,0,Permission of instructor,"['Fall', 'Spring']",,,{'LectureSession': ['MW1-2.30 VIRTUAL']}
18.THU,18.THU,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
18.UR,18.UR,0,Permission of instructor,"['Fall', 'IAP', 'Summer', 'Spring']",,,
2.000,2.000,2,,['Spring'],,,{'LectureSession': ['W4 VIRTUAL']}
2.001,2.001,12,GIR:PHY1; [2.087 or 18.03],"['Fall', 'Spring']",,REST,"{'LectureSession': ['MWF11 VIRTUAL'], 'LabSession': ['R1-2.30 VIRTUAL']}"
2.002,2.002,12,GIR:CHEM and 2.001,['Spring'],,,"{'LabSession': ['M3-5 (BEGINS FEB 22) VIRTUAL'], 'LectureSession': ['MW11-12.30 VIRTUAL']}"
2.003,2.003,12,GIR:PHY2; [2.087 or 18.03],"['Fall', 'Spring']",,REST,"{'RecitationSession': ['R1 VIRTUAL'], 'LectureSession': ['MW9.30-11 VIRTUAL']}"
2.004,2.004,12,GIR:PHY2 and 2.003,"['Fall', 'Spring']",,,"{'LabSession': ['M3-5 VIRTUAL'], 'LectureSession': ['MW9.30-11,F10 VIRTUAL']}"
2.005,2.005,12,"(GIR:CAL2, GIR:PHY2, and (2.086, 6.0002, or 18.06)) or permission of instructor","['Fall', 'Spring']",,,"{'RecitationSession': ['F10 VIRTUAL'], 'LectureSession': ['TR9-11 VIRTUAL']}"
2.006,2.006,12,2.005 or (2.051 and 2.06),"['Fall', 'Spring']",,,"{'RecitationSession': ['W1 VIRTUAL'], 'LectureSession': ['TR9.30-11,F9 VIRTUAL']}"
2.007,2.007,12,2.001 and 2.670; [2.086],['Spring'],,,"{'LabSession': ['R2-5 VIRTUAL'], 'RecitationSession': ['MTWRF2-5 3-051'], 'LectureSession': ['TR11-12.30 VIRTUAL']}"
2.008,2.008,12,2.007; or [2.017 and (2.005 or 2.051)],"['Fall', 'Spring']",,LAB2,"{'LabSession': ['M9-12 35-125'], 'RecitationSession': ['MTWRF9-12 35-225'], 'LectureSession': ['MW12.30-2 VIRTUAL']}"
2.00A,2.00A,9,GIR:CAL1 and GIR:PHY1,['Spring'],,,"{'LabSession': ['WF11-12.30 N52-337'], 'LectureSession': ['TR2.30-4 VIRTUAL']}"
2.00B,2.00B,9,,['Spring'],,,"{'RecitationSession': ['MTWRF EVE (7-10 PM) 3-370'], 'LectureSession': ['MW3.30-5 10-250'], 'LabSession': ['MTWRF9-12 3-004']}"
2.00C,2.00C,9,,['Spring'],,,"{'LectureSession': ['MW3-4.30 VIRTUAL'], 'RecitationSession': ['F3 VIRTUAL']}"
2.014,2.014,12,"(2.001, 2.003, (2.005 or 2.051), and (2.00B, 2.670, or 2.678)) or permission of instructor",['Spring'],,,"{'LectureSession': ['F1 VIRTUAL'], 'LabSession': ['F2-5 VIRTUAL']}"
2.017,2.017,12,"2.003, 2.016, and 2.678; [2.671]",['Spring'],,LAB2,"{'LabSession': ['W2-5 NW98-186'], 'LectureSession': ['TR11-12.30 VIRTUAL']}"
2.019,2.019,12,"2.001, 2.003, and (2.005 or 2.016)",['Spring'],,,"{'LectureSession': ['F1 VIRTUAL'], 'LabSession': ['F2-5 VIRTUAL']}"
2.065,2.065,12,"2.003, 6.003, 8.03, or 16.003",['Spring'],,,{'LectureSession': ['MW9.30-11 VIRTUAL']}
2.086,2.086,12,GIR:CAL2 and GIR:PHY1; [2.087 or 18.03],"['Fall', 'Spring']",,REST,"{'LabSession': ['F9-11 VIRTUAL'], 'LectureSession': ['MW12 VIRTUAL']}"
2.095,2.095,12,2.001 and 2.005,['Spring'],,,{'LectureSession': ['TR1-2.30 VIRTUAL']}
2.12,2.12,12,2.004,['Spring'],,,"{'LectureSession': ['MW11-12.30 VIRTUAL'], 'LabSession': ['R3-5 5-007']}"
2.121,2.121,12,[2.004],['Spring'],,,{'LectureSession': ['TR9.30-11 VIRTUAL']}
2.14,2.14,12,2.004,['Spring'],,,"{'LabSession': ['W2-5 VIRTUAL'], 'LectureSession': ['MW9.30-11 VIRTUAL']}"
2.161,2.161,6,2.086; [6.402],['Spring'],,,{'LectureSession': ['MWF11 VIRTUAL']}
2.180,2.180,12,"GIR:BIOL, 18.03, or permission of instructor",['Spring'],,,{'LectureSession': ['MW9.30-11 VIRTUAL']}
2.184,2.184,12,2.004 or permission of instructor,['Spring'],,,{'LectureSession': ['TR1-2.30 VIRTUAL']}
2.290,2.290,12,2.005,['Spring'],,,"{'RecitationSession': ['T4 VIRTUAL'], 'LectureSession': ['TR11-12.30 VIRTUAL']}"
2.370,2.370,12,GIR:CHEM and 2.001,['Spring'],,,"{'LectureSession': ['MW1-2.30 VIRTUAL'], 'RecitationSession': ['F2 VIRTUAL']}"
2.60,2.60,12,"2.006, (2.051 and 2.06), or permission of instructor",['Spring'],,,{'LectureSession': ['MW12.30-2.30 VIRTUAL']}
2.651,2.651,12,,['Spring'],,,"{'LabSession': ['MTWRF2-5 N51-310'], 'LectureSession': ['MW10.30-12 VIRTUAL']}"
2.670,2.670,3,,"['Fall', 'Summer', 'Spring']",,,"{'LabSession': ['MTWRF2-5 3-051'], 'RecitationSession': ['MTWRF2-5 35-125']}"
2.671,2.671,12,"GIR:PHY2, 2.001, 2.003, and 2.086","['Fall', 'Spring']",,LAB,"{'LabSession': ['T2-5 VIRTUAL'], 'LectureSession': ['TR12.30-2 VIRTUAL']}"
2.673,2.673,12,"(GIR:BIOL, GIR:PHY2, 6.0002, and 18.03) or permission of instructor","['Fall', 'Spring']",,,"{'LectureSession': ['TRF12 VIRTUAL'], 'LabSession': ['*TO BE ARRANGED null']}"
2.674,2.674,6,GIR:PHY2 or permission of instructor,['Spring'],,,"{'LabSession': ['F1-4 5-026'], 'LectureSession': ['T1 VIRTUAL']}"
2.678,2.678,6,GIR:PHY2,"['Fall', 'Spring']",,,"{'LectureSession': ['MW1 VIRTUAL'], 'LabSession': ['R3-5 VIRTUAL']}"
2.679,2.679,6,"2.086, 2.678, and 18.03",['Spring'],,,"{'LabSession': ['T1 VIRTUAL'], 'LectureSession': ['MW11 VIRTUAL']}"
2.70,2.70,12,2.008,['Spring'],,,"{'RecitationSession': ['R10-1 W31-301'], 'LabSession': ['M2-5 VIRTUAL'], 'LectureSession': ['MW12.30-2 VIRTUAL']}"
2.72,2.72,12,2.008 and (2.005 or 2.051); [2.671],['Spring'],,,"{'LabSession': ['M2-5 VIRTUAL'], 'LectureSession': ['MW11-12.30 VIRTUAL']}"
2.722,2.722,12,2.670 or permission of instructor,['Spring'],,,{'LectureSession': ['TR3.30-5 N51-310']}
2.723,2.723,6,,"['Fall', 'Spring']",,,{'LectureSession': ['M EVE (9 PM) VIRTUAL']}
2.7231,2.7231,3,,['Spring'],,,{'LectureSession': ['M EVE (7-9 PM) VIRTUAL']}
2.771,2.771,12,,['Spring'],,,{'LectureSession': ['MW9.30-11 VIRTUAL']}
2.792,2.792,12,"GIR:PHY2, 18.03, or permission of instructor",['Spring'],,,"{'RecitationSession': ['F2 VIRTUAL'], 'LectureSession': ['TR9.30-11 VIRTUAL']}"
2.793,2.793,12,"GIR:BIOL, GIR:PHY2, and 18.03",['Spring'],,,"{'RecitationSession': ['W12 VIRTUAL'], 'LectureSession': ['MWF11 VIRTUAL']}"
2.797,2.797,12,"GIR:BIOL, (2.370 or 20.110), and (3.016B or 18.03)",['Spring'],,,{'LectureSession': ['TR1-2.30 VIRTUAL']}
2.812,2.812,12,,['Spring'],,,{'LectureSession': ['MW1-2.30 VIRTUAL']}
2.900,2.900,6,,"['Fall', 'Spring']",,,{'LectureSession': ['T3-5 VIRTUAL']}
2.912,2.912,12,,['Spring'],,,{'LectureSession': ['MW8-9.30 VIRTUAL']}
2.979,2.979,0,,"['Fall', 'IAP', 'Spring']",,,
2.99,2.99,0,Permission of department,"['Fall', 'IAP', 'Spring']",,,
2.990,2.990,1,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
2.993,2.993,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
2.994,2.994,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
2.EPE,2.EPE,1,2.EPW or permission of instructor,"['Fall', 'Spring']",,,
2.S007,2.S007,0,,['Spring'],,,"{'LabSession': ['T2-5 VIRTUAL'], 'LectureSession': ['TR11-12.30 VIRTUAL']}"
2.S670,2.S670,0,,['Spring'],,,
2.S679,2.S679,0,,['Spring'],,,
2.S974,2.S974,0,,['Spring'],,,{'LectureSession': ['W9-12 VIRTUAL']}
2.S991,2.S991,0,,['Spring'],,,{'LectureSession': ['F3-5 VIRTUAL']}
2.S994,2.S994,0,,['Spring'],,,
2.THU,2.THU,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
2.UR,2.UR,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
2.URG,2.URG,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
20.005,20.005,9,,"['Fall', 'Spring']",,,{'LectureSession': ['M3-5 VIRTUAL']}
20.051,20.051,6,"GIR:BIOL, GIR:CAL2, GIR:CHEM, and GIR:PHY1",['Spring'],,,"{'LabSession': ['MTWRF8-10 (MEETS 4/12 TO 4/30) 56-286'], 'LectureSession': ['WF4 VIRTUAL']}"
20.052,20.052,12,,"['Fall', 'Spring']",,,
20.053,20.053,12,,"['Fall', 'Spring']",,,
20.054,20.054,0,20.051,"['Fall', 'Spring']",,,{'LectureSession': ['R 4-5 VIRTUAL']}
20.104,20.104,12,"GIR:BIOL, GIR:CAL2, and GIR:CHEM",['Spring'],,,{'LectureSession': ['TR1-2.30 VIRTUAL']}
20.109,20.109,15,"GIR:BIOL, GIR:CHEM, 6.0002, 18.03, and 20.110","['Fall', 'Spring']",,LAB,"{'LabSession': ['MTWRF9-12 56-322'], 'LectureSession': ['TR11 VIRTUAL']}"
20.129,20.129,12,GIR:BIOL and GIR:CAL2,['Spring'],,LAB,"{'LectureSession': ['MW2 VIRTUAL'], 'LabSession': ['MW12-2,MW3-5 26-033']}"
