8.01
8.02
18.01
18.02
7.014
7.016
3.091
5.111
5.07
5.12
5.13
5.310
5.601
5.602
6.0001
6.0002
6.003
6.004
6.006
6.009
6.03
6.031
6.033
6.036
6.042
6.046
6.08
6.806
6.819
6.UAT
15.0251
15.053
15.068
15.276
15.312
15.501
15.780
15.8141
18.06
18.600
18.650
21H.134
21A.500
21L.019
21M.273
24.013
21G.701
21H.343
9.00
14.01
